#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
surgeon	"<img src=""_25_Surgery_Heart_Doctor.JPG"">"								surgeon	/ˈsɜ˞dʒən/	/ˈsɜːdʒən/	n	A doctor who performs operations.	Do you know which surgeon will be operating on you?	cirujano																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Health-and-Medicine Voc::Doctors Voc::Health
the flu									the flu	/ðə ˈflu/	/ðə fluː/	n	An infectious disease caused by the influenza virus, leading to fever, body aches, and fatigue.	She’s off sick today. I think she’s got the flu .	la gripe																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Health-and-Medicine Voc::Health
throat infection									throat infection	/ˈθɹoʊt ɪnˈfɛkʃən/	/θrəʊt ɪnˈfekʃn/	n	An illness affecting the throat, often caused by bacteria or viruses.	My sister needed antibiotics to get rid of a very bad throat infection .	infección de garganta																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Health-and-Medicine Voc::Health
treatment									treatment	/ˈtɹitmənt/	/ˈtriːtmənt/	n	Medical care given to a patient to relieve or cure an illness or injury.	Doctors are very careful what treatment they give to patients.	tratamiento																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Health-and-Medicine Voc::Health
as blind as a bat									as blind as a bat	/əz ˈblaɪnd əz ə ˈbæt/	/əz blaɪnd əz ə bæt/	exp	Describes someone with very poor eyesight.	Your mother is as blind as a bat. She should have her eyes tested.	más ciego que un topo																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as deaf as a post									as deaf as a post	/əz ˈdɛf əz ə ˈpʰoʊst/	/əz def əz ə pəʊst/	exp	Describes someone who has significant hearing loss.	My grandad is as deaf as a post, so you have to speak up a little.	sordo como una tapia																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as fit as a fiddle									as fit as a fiddle	/əz ˈfɪt əz ə ˈfɪdl̩/	/əz fɪt əz ə ˈfɪdl/	exp	Describes a person who is in excellent health and physical condition.	"Thankfully, my grandmother is as fit as a fiddle . She&#x27;s almost never ill."	rebosante de salud																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as good as gold									as good as gold	/əz ˈɡʊd əz ˈɡoʊld/	/əz gʊd əz gəʊld/	exp	Describes a person, often a child, who behaves very well.	She’s been as good as gold . She took all her medicine without complaining.	(portarse) como un ángel																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as quick as a flash									as quick as a flash	/əz ˈkwɪk əz ə ˈflæʃ/	/əz kwɪk əz ə flæʃ/	exp	Describes someone who moves or reacts extremely fast.	When I pressed the button, the nurse came as quick as a flash .	como un rayo																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as stubborn as a mule									as stubborn as a mule	/əz ˈstəbə˞n əz ə ˈmjul/	/əz ˈstʌbən əz ə mjuːl/	exp	Describes someone very resistant to change or advice.	My husband is as stubborn as a mule . He refuses to go to the doctor about his back problems.	terco como una mula																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as thin as a rake									as thin as a rake	/əz ˈθɪn əz ə ˈɹeɪk/	/əz θɪn əz ə reɪk/	exp	Describes a person who is extremely thin.	He’s lost a lot of weight since his illness. He’s as thin as a rake .	estar en los huesos																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as tough as old boots									as tough as old boots	/əz ˈtʰəf əz ˈoʊld ˈbuts/	/əz tʌf əz əʊld buːts/	exp	Describes a person who is very strong or resilient. Not realted to animals.	My grandparents are in their 90s, but are both as tough as old boots.	fuerte como un roble																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
as white as a sheet									as white as a sheet	/əz ˈwaɪt əz ə ˈʃit/	/əz waɪt əz ə ʃiːt/	exp	Describes someone who looks very pale, often due to fear or illness.	She’s as white as a sheet . I think she’s going to faint.	blanco como la pared																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
drink like a fish									drink like a fish	/ˈdɹɪŋk ˈlaɪk ə ˈfɪʃ/	/drɪŋk laɪk ə fɪʃ/	exp	Describes someone who drinks large quantities of alcohol.	He drinks like a fish . He really ought to cut down.	beber como una esponja																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
eat like a horse									eat like a horse	/ˈit ˈlaɪk ə ˈhɔrs/	/iːt laɪk ə hɔːs/	exp	Describes someone with a very large appetite.	Some people can eat like a horse and not put on weight.	comer como una lima																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
sleep like a log									sleep like a log	/ˈslip ˈlaɪk ə ˈlɔɡ/	/sliːp laɪk ə lɒg/	exp	Describes someone who sleeps very deeply and soundly.	She sleeps like a log . I don’t think she’ll ever have problems with insomnia.	dormir como un tronco																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
works like a dream									works like a dream	/ˈwɜ˞ks ˈlaɪk ə ˈdɹim/	/wɜːks laɪk ə driːm/	exp	Describes something that functions perfectly or efficiently.	My new medication works like a dream . I feel so much better.	ser muy eficaz																																				Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Similes
animal charity		instituição de caridade animal	a instituição de caridade animal	ɐ ĩʃtitujˈsɐ̃w̃ dɨ kɐɾiˈdadɨ ɐniˈmaɫ	a ĩstʃitujˈsɐ̃w̃ dʒi kaɾiˈdadʒi ɐniˈmaw	sf	Organização que cuida de animais abandonados ou maltratados.		animal charity	ˈænəməl ˈtʃɛrəti	ˈænɪməl ˈtʃærɪti	n	An organization dedicated to protecting and caring for animals.	He works for an animal charity .	organización benéfica de animales						association de protection des animaux						Tierschutzorganisation						protectora d'animals						associazione per la protezione degli animali												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
animal rights activist		ativista dos direitos dos animais	o/a ativista dos direitos dos animais	ˈɔɐ ɐtiˈviʃtɐ ˈdɔʒ diˈɾɐjtuʒ ˈdɔz ɐniˈmajʃ	ˈɔɐ atʃiˈvistɐ ˈdɔs dʒiˈɾejtus ˈdɔs ɐniˈmajs	s m/f	Pessoa que luta pelos direitos dos animais.		animal rights activist	ˈænəməl ˈɹaɪts ˈæktɪvɪst	ˈænɪməl ˈraɪts ˈæktɪvɪst	n	A person who campaigns for the ethical treatment of animals.	She is an animal rights activist.	activista por los derechos de los animales						militant des droits des animaux						Tierrechtsaktivist						activista pels drets dels animals						attivista per i diritti degli animali												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
bark (dog)		latido	o latido	u lɐˈtidu	u laˈtʃidu	sm	Som emitido por cães para comunicar ou alertar.		bark	ˈbɑrk	ˈbɑːk	v	The loud sound made by a dog.	The dog is barking . There might be someone at the door.	ladrido						aboiement						Bellen						lladruc						abbaio												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
beak	"<img src=""_beak.JPG"">"	bico	o bico	u ˈbiku	u ˈbiku	sm	Parte rígida e pontiaguda de aves e outros animais.		beak	ˈbik	ˈbiːk	n	The hard, pointed mouthpart of a bird.	Male blackbirds have yellow beaks.	pico						bec						Schnabel						bec						becco												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Birds
bee	"<img src=""_bee.JPG"">"	abelha	a abelha	ɐ ɐˈbɐʎɐ	a aˈbeʎɐ	sf	Inseto que produz mel e poliniza flores.		bee	ˈbi	ˈbiː	n	A flying insect known for producing honey and pollinating flowers.	I’m scared of bees. I’m allergic to their stings.	abeja						abeille						Biene						abella						ape												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
bred in captivity		criado em cativeiro	criado em cativeiro	kɾiˈadu ˈɐ̃j̃ kɐtiˈvɐjɾu	kɾiˈadu ˈẽj̃ katʃiˈvejɾu	exp	Criado em ambiente fechado, não na natureza.		bred in captivity	ˈbɹɛd ˈɪn kæpˈtʰɪvəti	ˈbred ɪn kæpˈtʰɪvɪti	exp	"Describes animals that have been raised by humans rather than in the wild. ""B......... ...... ............"""	The bear was bred in captivity .	criado en cautividad						élevé en captivité						in Gefangenschaft gezüchtet						criat en captivitat						allevato in cattività												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
cage	"<img src=""_liberdade.JPG"">"	gaiola	a gaiola	ɐ ɡɐjˈɔlɐ	a ɡajˈɔlɐ	sf	Recipiente fechado para manter aves ou pequenos animais.		cage	ˈkʰeɪdʒ	ˈkʰeɪdʒ	n	A structure of bars or wire in which animals are kept.	I hate seeing animals in cages.	jaula						cage						Käfig						gàbia						gabbia												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Birds Voc::Zoos
calf, calves	"<img src=""_calf_cow.JPG"">"	bezerro	o bezerro	u bɨˈzɛʁu	u beˈzɛʁu	sm	Filhote de boi ou vaca.		calf, calves	ˈkʰæf	ˈkʰɑːf	n	A young cow or bull (but also elephants and whales)	The cow had a calf last night.	ternero						veau						Kalb						vedell						vitello												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::Baby_Animals Voc::Animals::EN-Animals Voc::Cows Voc::Farm_Animals
canary, canaries	"<img src=""_canario.JPG"">"	canário	o canário	u kɐˈnaɾiu	u kɐˈnaɾiu	sm	Ave canora geralmente criada em gaiolas.		canary, canaries	kəˈnɛri | kəˈnɛriz	kəˈneəri | kəˈneəriz	n	A small yellow songbird often kept as a pet.	Please keep the canary in the cage.	canario						canari						Kanarienvogel						canarí						canarino												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Birds
chick		pintinho	o pintinho	u pĩˈtiɲu	u pĩˈtʃiɲu	sm	Filhote de galinha ou pássaro jovem.		chick	ˈtʃɪk	ˈtʃɪk	n	A baby bird, especially a young chicken.	There were a few chicks in the yard.	pollito						poussin						Küken						pollastrell						pulcino												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Chickens
claw	"<img src=""_claw.JPG"">"	garra	a garra	ɐ ˈɡaʁɐ	a ˈɡaʁɐ	sf	Estrutura pontiaguda usada por animais para agarrar ou rasgar.		claw	ˈklɔ	ˈklɔː	n	A sharp, curved nail found on the feet of some animals.&nbsp;A curved pointed horny nail on each digit of the foot in birds,&nbsp;lizards, and some&nbsp;mammals.	Be careful with the cat’s claws. They’re sharp.	garra						griffe						Kralle						urpa						artiglio												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
cub		filhote	o filhote	u fiˈʎɔtɨ	u fiˈʎɔtʃi	sm	Animal jovem, especialmente mamíferos.		cub	ˈkʰəb	ˈkʰʌb	n	A young (baby) carnivorous animal such as a lion, bear, or wolf.	The film is about a lion cub that gets separated from its family.	cachorro						jeune animal						Jungtier						cachorretó						cucciolo												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::Baby_Animals Voc::Animals::EN-Animals Voc::Bears Voc::Canides
endangered species		espécie em extinção	a espécie em extinção	ɐ ˈʃpɛsiɨ ˈɐ̃j̃ iʃtĩˈsɐ̃w̃	a isˈpɛsii ˈẽj̃ iʃtĩˈsɐ̃w̃	sf	Espécie cuja população está ameaçada de extinção.		endangered species	ɪnˈdeɪndʒə˞d ˈspiʃiz	ɪnˈdeɪndʒəd ˈspiːʃiːz	n	A group of animals or plants at risk of extinction.	The sea turtle is an endangered species.	especie en peligro de extinción						espèce en voie de disparition						bedrohte Tierart						"espècie en perill d&#x27;extinció"						specie in via di estinzione												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
environment		meio ambiente	o meio ambiente	u ˈmɐju ɐ̃biˈẽtɨ	u ˈmeju ɐ̃biˈẽtʃi	sm	Conjunto de condições naturais que rodeiam um ser vivo.		environment	ɪnˈvaɪɹənmənt	ɪnˈvaɪrənmənt	n	The natural world or conditions in which animals live.	It is important to respect natural animal environments.	medio ambiente						environment						Umwelt						medi ambient						ambiente												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Environment
fin, fins (animals)	"<img src=""_fish_fin.JPG"">"	barbatana	a barbatana	ɐ bɐɾbɐˈtɐnɐ	a baʁbaˈtɐnɐ	sf	Extremidade natatória de peixes e mamíferos aquáticos.		fin	ˈfɪn	ˈfɪn	n	A flattened appendage used by fish for swimming.	Fish use their fins for swimming.	aleta						nageoire						Flosse						aleta						pinna												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Fish Voc::Whales
foal	"<img src=""_foal.JPG"">"	potro	o potro	u ˈpɔtɾu	u ˈpɔtɾu	sm	Cavalo jovem, especialmente antes de ser domado.		foal	ˈfoʊl	ˈfəʊl	n	A young horse, especially one under a year old.	I love foals. They are so beautiful.	potro						poulain						Fohlen						potrillo						puledro												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::Baby_Animals Voc::Animals::EN-Animals Voc::Horses
fur	"<img src=""furry.jpg"">"	pelagem, pelagens	a pelagem, pelagens	ɐ pɨˈlaʒɐ̃j̃ | pɨˈlaʒẽʃ	a peˈlaʒẽj̃ | peˈlaʒẽs	sf, sfp	Pelagem ou cobertura de pelos de um animal.		fur	ˈfɜ˞	ˈfɜː	n	The thick, soft hair that covers the bodies of some animals.	Some animals are hunted for their fur.	pelaje						poil						Fell						pelatge						pelliccia												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
goldfish	"<img src=""_goldfish.JPG"">"	peixinho dourado	o peixinho dourado	u pɐjˈʃiɲu doˈɾadu	u pejˈʃiɲu doˈɾadu	sm	Peixe ornamental de cor dourada.		goldfish	ˈɡoʊldˌfɪʃ	ˈɡəʊldfɪʃ	n	A small, orange freshwater fish commonly kept as a pet.	I have to buy a new tank for the goldfish .	pez dorado						poisson rouge						Goldfisch						peixet daurat						pesce rosso												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals Voc::Fish
grunt		grunhido	o grunhido	u ɡɾuˈɲidu	u ɡɾuˈɲidu	sm	Som rouco e baixo emitido por certos animais.		grunt	ˈɡɹənt	ˈɡrʌnt	v	The low, rough sound made by pigs or other animals.	The pigs grunted and everybody laughed.	grunido						grognement						Grunzen						gruixit						grugnito												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
hive, beehive	"<img src=""_en_beehive.JPG"">"	colmeia	a colmeia	ɐ kɔɫˈmɐjɐ	a kɔwˈmejɐ	sf	Habitação de abelhas onde produzem mel.		hive, beehive	ˈhaɪv	ˈhaɪv	n, n	A structure where bees live and produce honey.	There was a hive full of bees in the park near the school.	colmena						ruche						Bienenstock						rusc						alveare												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals Voc::Bees Voc::Insects
hoof / hooves	"<img src=""_hooves.jpg"">"	casco / cascos	o casco / os cascos	u ˈkaʃku | uʃ ˈkaʃkuʃ	u ˈkasku | uʃ ˈkaskus	sm	Cobertura dura de animais como cavalos e tartarugas.		hoof / hooves	ˈhʊf | ˈhuvz	ˈhuːf | ˈhuːvz	n, npl	The hard covering on the feet of horses, cows, and similar animals.	They have to shoe the horse’s hooves.	pezuña / pezuñas						sabot / sabots						Huf / Hufe						casc / cascs						zoccolo / zoccoli												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Horses
horn, horns	"<img src=""_horns.JPG"">"	chifre	o chifre	u ˈʃifɾɨ	u ˈʃifɾi	sm	Estrutura óssea usada para defesa ou ataque.		horn, horns	ˈhɔrn | ˈhɔrnz	ˈhɔːn | ˈhɔːnz	n	A hard, pointed growth on the head of some animals, such as rams or cattle.	Rams have curved horns.	cuerno						corne						Horn						banya						corno												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
hunted for sport		caçado por esporte	caçado por esporte	kɐˈsadu puɾ ˈʃpɔɾtɨ	kaˈsadu puʁ isˈpɔʁtʃi	exp	Prática de matar animais por prazer ou esporte.		hunted for sport	ˈhəntəd fə˞ ˈspɔrt	ˈhʌntɪd fə ˈspɔːt	exp	Describes animals that are killed for recreation rather than survival.	Some animals are hunted for sport.	cazado por deporte						chassé pour le sport						zum Sport gejagt						cacat per esport						cacciato per sport												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
inhumane conditions		condições desumanas	as condições desumanas	ɐʃ kõdiˈsõj̃ʒ dɨzuˈmɐnɐʃ	aʃ kõdʒiˈsõj̃s dezuˈmɐnas	sfp	Situação que desrespeita o bem-estar animal.		inhumane conditions	ˌɪnhjuˈmeɪn kənˈdɪʃənz	ˌɪnhjʊˈmeɪn kənˈdɪʃᵊnz	n pl	Describes living or working conditions that are cruel and cause suffering.	Chickens were transported in inhumane conditions.	condiciones inhumanas						conditions inhumaines						Unmenschliche Bedingungen						condicions inhumanes						condizioni disumane												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
kennel		canil	o canil	u kɐˈniɫ	u kɐˈniw	sm	Abrigo para cães geralmente abandonados ou resgatados.		kennel	ˈkʰɛnl̩	ˈkʰenᵊl	n	A small shelter or house for a dog.	My dog usually sleeps in a kennel .	perrera						chenil						Zwinger						canera						canile												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals Voc::Dogs
kid (goat)	"<img src=""_kids_goats.JPG"">"	cabrito	o cabrito	u kɐˈbɾitu	u kaˈbɾitu	sm	Filhote de cabra.		kid	ˈkʰɪd	ˈkʰɪd	n	A young goat.	On the farm we saw some goats and their newborn kids.	cabrito						chevreau						Zicklein						cabrit						capretto												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::Baby_Animals Voc::Animals::EN-Animals Voc::Farm_Animals Voc::Goats-Sheep
live in the wild		viver na natureza	viver na natureza	viˈveɾ ˈna nɐtuˈɾɛzɐ	viˈveʁ ˈna natuˈɾɛzɐ	exp	Viver em seu habitat natural, sem cativeiro.		live in the wild	ˈlɪv ˈɪn ðə ˈwaɪəld	ˈlɪv ɪn ðə ˈwaɪld	exp	Describes animals that live in their natural habitat without human interference.	There is a national park nearby where animals live in the wild .	vivir en libertad						vivre dans la nature						in freier Wildbahn leben						viure en llibertat						vivere allo stato brado												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
meow		miar	miar	miˈaɾ	miˈaʁ	v	Som emitido pelos gatos.		meow	miˈaʊ	ˌmiːˈaʊ	v	The sound made by a cat.	I can hear the cat meowing from here.	maullar						miauler						Miauen						miolar						miagolare												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
neigh		relinchar	relinchar	ʁɨlĩˈʃaɾ	ʁelĩˈʃaʁ	v	Som alto e prolongado emitido por cavalos.		neigh	ˈneɪ	ˈneɪ	v	The high-pitched sound made by a horse.	The horse neighed when it saw me.	relinchar						hennir						Wiehern						rinyolar						nitrire												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals Voc::Horses
nest	"<img src=""_ninho_nido_nest.JPG"">"	ninho	o ninho	u ˈniɲu	u ˈniɲu	sm	Estrutura feita por pássaros para proteger seus ovos.		nest	ˈnɛst	ˈnest	n	A structure built by birds for laying eggs and raising young.	Have you seen that bird’s nest ? I think there are eggs in there.	nido						nid						Nest						niu						nido												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters My_Mess::Multi Voc::Animals Voc::Animals::EN-Animals Voc::Birds
paw, paws	"<img src=""_en_paw.JPG"">"	pata	a pata	ɐ ˈpatɐ	a ˈpatɐ	sf	Pé de aves e animais quadrúpedes.		paw, paws	ˈpʰɔ	ˈpʰɔː	n	The foot of an animal with claws, such as a dog or cat.	The cat had white paws.	pata						patte						Pfote						pota						zampa												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Canides Voc::Dogs
protect		proteger	proteger	pɾutɨˈʒeɾ	pɾoteˈʒeʁ	v	Preservar ou manter a salvo.		protect	pɹəˈtʰɛkt	prəˈtʰekt	v	To keep someone or something safe from harm.	This organization is trying to protect animals.	proteger						protéger						schützen						protegir						proteggere												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
puppy	"<img src=""_3_Counting_Hundred_Dogs.JPG"">"	cachorrinho	o cachorrinho	u kɐʃuˈʁiɲu	u kaʃoˈʁiɲu	sm	Cão jovem, filhote.		puppy	ˈpʰəpi	ˈpʰʌpi	n	A young dog.	The dog had seven puppies.	cachorro						chiot						Welpe						cadell						cucciolo												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::Baby_Animals Voc::Animals::EN-Animals Voc::Dogs
reintroduce (animal-matters)		reintroduzir	reintroduzir	ʁɐjntɾuduˈziɾ	ʁejntɾoduˈziʁ	v	Reintroduzir um animal em seu habitat natural.		reintroduce	ˌɹiɪntɹəˈdus	ˌriːɪntrəˈdjuːs	v	To return an animal to its natural habitat after it has been bred or kept elsewhere.	They’ll try to reintroduce the bear into the wild.	reintroducir						réintroduire						Wiedereinführung						reintroduir						reintrodurre												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
roar (animal)		rugido	o rugido	u ʁuˈʒidu	u ʁuˈʒidu	sm	Som alto e feroz de animais, especialmente leões.		roar	ˈɹɔr	ˈrɔː	v	The loud, deep sound made by a lion or other large animal.	We heard a lion roar in the reserve. It’s a really scary sound!	rugido						rugissement						Brüllen						rogit						ruggito												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
shell (land animal)	"<img src=""_turtle_shell.JPG""><img src=""_snail.JPG"">"	concha	a concha	ɐ ˈkõʃɐ	a ˈkõʃɐ	sf	Cobertura dura de moluscos e crustáceos.		shell	ˈʃɛl	ˈʃel	n	The hard outer covering of some animals, such as turtles or snails.	Snail shells break easily, so don’t tread on them.	concha						coquille						Schale						clova						conchiglia												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Turtles
squeak		guincho	o guincho	u ˈɡĩʃu	u ˈɡĩʃu	sm	Som agudo emitido por aves ou animais pequenos.		squeak	ˈskwik	ˈskwiːk	v	A high-pitched sound made by mice or small creatures.	Oh no! I think I heard a mouse squeak .	chirrido						couinement						Quietschen						xiulet						squittio												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Sound::EN-Sound
stable	"<img src=""_stable.JPG"">"	estábulo	o estábulo	u ˈʃtabulu	u isˈtabulu	sm	Local para cavalos e outros animais de fazenda.		stable	ˈsteɪbəl	ˈsteɪbᵊl	n	A building where horses are kept.	The horse was led back to the stable .	establo						écurie						Stall						establest						maneggio												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Horses
tail, tails	"<img src=""_en_tail.JPG"">"	cauda	a cauda	ɐ ˈkawdɐ	a ˈkawdɐ	sf	Extremidade posterior de animais.		tail	ˈtʰeɪl	ˈtʰeɪl	n	The part of an animal’s body that extends from its back.	The dog was wagging its tail wildly.	cola						queue						Schwanz						cua						coda												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Cats Voc::Dogs
tank	"<img src=""_fish_tank.JPG"">"	tanque	o tanque	u ˈtɐ̃kɨ	u ˈtɐ̃ki	sm	Recipiente para água ou manutenção de peixes.		tank	ˈtʰæŋk	ˈtʰæŋk	n	A container for keeping fish or other aquatic creatures.	We bought a new fish tank . It’s really big and looks great.	tanque						bassin						Behälter						tanc						vasca												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Fish
treat cruelly		maltratar	maltratar	maɫtɾɐˈtaɾ	mawtɾaˈtaʁ	v	Tratar um animal com crueldade ou negligência.		treat cruelly	ˈtɹit ˈkɹuli	ˈtriːt ˈkruːəli	v	"To cause suffering or pain to animals or people. ""T..... ......."""	Some people treat animals cruelly .	maltratar						maltraiter						grausam behandeln						maltractar						maltrattare												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
twitter (birds)	"<img src=""_40_Sing_Yellow_Bird_Trees.JPG"">"	piar	piar	piˈaɾ	piˈaʁ	v	Som emitido por aves pequenas.		twitter	ˈtwɪtə˞	ˈtwɪtə	v	The high-pitched sounds made by birds.	I love to hear the birds twitter in the garden.	gorjear						piailler						Zwitschern						piular						cinguettare												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals Voc::Birds
wing, wings	"<img src=""_40_Sing_Yellow_Bird_Trees.JPG"">"	asa, asas	a asa	ɐ ˈazɐ	a ˈazɐ	sf	Membro que permite o voo nas aves.		wing, wings	ˈwɪŋ	ˈwɪŋ	n	The limb used by birds and insects for flying.	The bird had a broken wing and couldn’t fly.	ala						aile						Flügel						ala						ala												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals Voc::Birds
a dark horse		um azarão	um azarão	ˈũ ɐzɐˈɾɐ̃w̃	ˈũ azaˈɾɐ̃w̃	exp	Cavalo subestimado, mas com potencial vencedor.		a dark horse	ə ˈdɑrk ˈhɔrs	ə ˈdɑːk ˈhɔːs	exp	A person who keeps their abilities or intentions hidden.	I think James was married before, but I’m not sure. He’s a bit of a dark horse .	un tapado						un outsider						ein Außenseiter						un desconegut						un outsider												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
